	Treatments	Sample_Type
S101A	Pro	Gut
S101B	Pro	Gut
S101C	Pro	Gut
S103A	Pro	Gut
S103B	Pro	Gut
S103C	Pro	Gut
S103PRO	Pro_Water	Water
S105A	Pro	Gut
S105B	Pro	Gut
S105C	Pro	Gut
S105PRO	Pro_Water	Water
S107A	Pro	Gut
S107B	Pro	Gut
S107C	Pro	Gut
S107PRO	Pro_Water	Water
S109A	Pro	Gut
S109B	Pro	Gut
S109C	Pro	Gut
S109PRO	Pro_Water	Water
S10A	Control	Gut
S10B	Control	Gut
S10C	Control	Gut
S10Con	Control_Water	Water
S111A	Pro	Gut
S111B	Pro	Gut
S111PRO	Pro_Water	Water
S113A	Pro	Gut
S113B	Pro	Gut
S113C	Pro	Gut
S113PRO	Pro_Water	Water
S115A	Pro	Gut
S115B	Pro	Gut
S115C	Pro	Gut
S115PRO	Pro_Water	Water
S117B	Pro	Gut
S117PRO	Pro_Water	Water
S119A	Pro	Gut
S119B	Pro	Gut
S119C	Pro	Gut
S119PRO	Pro_Water	Water
S121A	Pro	Gut
S121B	Pro	Gut
S121C	Pro	Gut
S121PRO	Pro_Water	Water
S123A	Pro	Gut
S123B	Pro	Gut
S123C	Pro	Gut
S123PRO	Pro_Water	Water
S125A	Pro	Gut
S125B	Pro	Gut
S125C	Pro	Gut
S125PRO	Pro_Water	Water
S127A	Pro	Gut
S127B	Pro	Gut
S127C	Pro	Gut
S127PRO	Pro_Water	Water
S129A	Pro	Gut
S129B	Pro	Gut
S129C	Pro	Gut
S129PRO	Pro_Water	Water
S12B	Control	Gut
S12C	Control	Gut
S12Con	Control_Water	Water
S131A	Pro	Gut
S131B	Pro	Gut
S131C	Pro	Gut
S131PRO	Pro_Water	Water
S133A	Pro	Gut
S133B	Pro	Gut
S133C	Pro	Gut
S133PRO	Pro_Water	Water
S135C	Pro	Gut
S135PRO	Pro_Water	Water
S137A	Pro	Gut
S137B	Pro	Gut
S137C	Pro	Gut
S137PRO	Pro_Water	Water
S139A	Pro	Gut
S139B	Pro	Gut
S139C	Pro	Gut
S139PRO	Pro_Water	Water
S141A	Pro	Gut
S141B	Pro	Gut
S141C	Pro	Gut
S141PRO	Pro_Water	Water
S143A	Pro	Gut
S143B	Pro	Gut
S143C	Pro	Gut
S143PRO	Pro_Water	Water
S14B	Control	Gut
S14C	Control	Gut
S14Con	Control_Water	Water
S16A	Control	Gut
S16B	Control	Gut
S16C	Control	Gut
S16Con	Control_Water	Water
S1A	Control	Gut
S1B	Control	Gut
S1C	Control	Gut
S1Con	Control_Water	Water
S20A	Control	Gut
S20B	Control	Gut
S20C	Control	Gut
S20Con	Control_Water	Water
S22A	Control	Gut
S22B	Control	Gut
S22C	Control	Gut
S22Con	Control_Water	Water
S24A	Control	Gut
S24B	Control	Gut
S24C	Control	Gut
S24Con	Control_Water	Water
S26A	Control	Gut
S26B	Control	Gut
S26C	Control	Gut
S26Con	Control_Water	Water
S28A	Control	Gut
S28C	Control	Gut
S28Con	Control_Water	Water
S30A	Control	Gut
S30B	Control	Gut
S30C	Control	Gut
S30Con	Control_Water	Water
S33A	Control	Gut
S33B	Control	Gut
S33C	Control	Gut
S33Con	Control_Water	Water
S35A	Control	Gut
S35B	Control	Gut
S35C	Control	Gut
S35Con	Control_Water	Water
S37A	Control	Gut
S37B	Control	Gut
S37C	Control	Gut
S37Con	Control_Water	Water
S39A	Control	Gut
S39B	Control	Gut
S39C	Control	Gut
S39Con	Control_Water	Water
S41A	Control	Gut
S41B	Control	Gut
S41C	Control	Gut
S41Con	Control_Water	Water
S43A	Control	Gut
S43B	Control	Gut
S43C	Control	Gut
S43Con	Control_Water	Water
S45A	Control	Gut
S45B	Control	Gut
S45Con	Control_Water	Water
S49A	Anti	Gut
S49AB	Anti_Water	Water
S49C	Anti	Gut
S4B	Control	Gut
S4C	Control	Gut
S4Con	Control_Water	Water
S51A	Control	Gut
S51AB	Anti_Water	Water
S51B	Anti	Gut
S51C	Anti	Gut
S53A	Anti	Gut
S53AB	Anti_Water	Water
S53B	Anti	Gut
S53C	Anti	Gut
S55A	Anti	Gut
S55AB	Anti_Water	Water
S55B	Anti	Gut
S55C	Anti	Gut
S57A	Anti	Gut
S57AB	Anti_Water	Water
S57B	Anti	Gut
S57C	Anti	Gut
S59A	Anti	Gut
S59AB	Anti_Water	Water
S59B	Anti	Gut
S59C	Anti	Gut
S61A	Anti	Gut
S61AB	Anti_Water	Water
S61B	Anti	Gut
S61C	Anti	Gut
S63A	Anti	Gut
S63AB	Anti_Water	Water
S63B	Anti	Gut
S63C	Anti	Gut
S65A	Anti	Gut
S65AB	Anti_Water	Water
S65B	Anti	Gut
S67A	Anti	Gut
S67AB	Anti_Water	Water
S67B	Anti	Gut
S67C	Anti	Gut
S69A	Anti	Gut
S69AB	Anti_Water	Water
S69B	Anti	Gut
S69C	Anti	Gut
S6B	Control	Gut
S6C	Control	Gut
S6Con	Control_Water	Water
S71A	Anti	Gut
S71AB	Anti_Water	Water
S71B	Anti	Gut
S71C	Anti	Gut
S73A	Anti	Gut
S73B	Anti	Gut
S73C	Anti	Gut
S75A	Anti	Gut
S75AB	Anti_Water	Water
S75B	Anti	Gut
S75C	Anti	Gut
S77A	Anti	Gut
S77AB	Anti_Water	Water
S77B	Anti	Gut
S77C	Anti	Gut
S79A	Anti	Gut
S79AB	Anti_Water	Water
S79B	Anti	Gut
S79C	Anti	Gut
S81A	Anti	Gut
S81AB	Anti_Water	Water
S81B	Anti	Gut
S81C	Anti	Gut
S83A	Anti	Gut
S83AB	Anti_Water	Water
S83B	Anti	Gut
S83C	Anti	Gut
S85A	Anti	Gut
S85AB	Anti_Water	Water
S85B	Anti	Gut
S85C	Anti	Gut
S87A	Anti	Gut
S87AB	Anti_Water	Water
S87B	Anti	Gut
S87C	Anti	Gut
S89A	Anti	Gut
S89AB	Anti_Water	Water
S89B	Anti	Gut
S91A	Anti	Gut
S91AB	Anti_Water	Water
S91B	Anti	Gut
S91C	Anti	Gut
S93A	Anti	Gut
S93AB	Anti_Water	Water
S93B	Anti	Gut
S95A	Anti	Gut
S95AB	Anti_Water	Water
S95B	Anti	Gut
S95C	Anti	Gut
S97A	Pro	Gut
S97B	Pro	Gut
S97C	Pro	Gut
S97PRO	Pro_Water	Water
S99A	Pro	Gut
S99B	Pro	Gut
S99C	Pro	Gut
S99PRO	Pro_Water	Water
