out	Kingdom	Phylum	Class	Order	Family
1aedbef5a4c25856b020bdd80ecbddd2	Bacteria	 Desulfobacterota	 Desulfovibrionia	 Desulfovibrionales	 Desulfovibrionaceae
870abdf23ed0a3abacc5e249d73ed05a	Bacteria	 Firmicutes	 Bacilli	 Mycoplasmatales	 Mycoplasmataceae
0f00ea999443bd34d6699415a8b219da	Bacteria	 Desulfobacterota	 Desulfovibrionia	 Desulfovibrionales	 Desulfovibrionaceae
71f16026525d8a9bd1cb097f8b034c1b	Bacteria	 Desulfobacterota	 Desulfovibrionia	 Desulfovibrionales	 Desulfovibrionaceae
32529335781031135f37f0b545d253dc	Bacteria	 Desulfobacterota	 Desulfovibrionia	 Desulfovibrionales	 Desulfovibrionaceae
9da8ac3474a532f3bf86af91e2da997a	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae
63bc478f712e85fe5a9d197108d44120	Bacteria	 Firmicutes	 Bacilli	 Mycoplasmatales	 Mycoplasmataceae
cdd15542cc9063045a82cb3bb52293ed	Bacteria	 Firmicutes	 Bacilli	 Mycoplasmatales	 Mycoplasmataceae
3d11a9c4fafb6692ef366f355964ca4e	Bacteria	 Desulfobacterota	 Desulfovibrionia	 Desulfovibrionales	 Desulfovibrionaceae
e6d8f75121aacb21c96258dae74e8fa1	Bacteria	 Firmicutes	 Bacilli	 Mycoplasmatales	 Mycoplasmataceae
9ae49a28a3165024d7d9fc68da6ad9ed	Bacteria	 Firmicutes	 Bacilli	 Mycoplasmatales	 Mycoplasmataceae
59bb2742d5889e5fe2e346809fff1e0e	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae
beb5b1da5fe5f21ad65ac59b18710951	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae
6189f3dd31e65a5b28e8d50da0a6e87c	Bacteria	 Desulfobacterota	 Desulfovibrionia	 Desulfovibrionales	 Desulfovibrionaceae
88191048cb0706941ecfd4879d4ec6eb	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae
f9ba9e591d5fdfdc337a2d891fe0aaf2	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Aeromonadales	 Aeromonadaceae
09397c48dafa0a59d7eb5b646d2d2ae2	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Aeromonadales	 Aeromonadaceae
1a3fd426691f4c44e4d387d7ea7b5d40	Bacteria	 Firmicutes	 Bacilli	 Mycoplasmatales	 Mycoplasmataceae
8eceaac400cf607cb809dc2bcbb780af	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae
7f9f91e59a8b79b46d219c80a8d22b06	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae
0d2fcc36a394035a7256c7e93ee74d80	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae
99d95b98f4cf68e6a6522cee54433b51	Bacteria	 Firmicutes	 Bacilli	 Mycoplasmatales	 Mycoplasmataceae
3e628d9a38474a52ef532d1cf43a0f41	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae
5538a84c999f8171255f01f090a3df5a	Bacteria	 Desulfobacterota	 Desulfovibrionia	 Desulfovibrionales	 Desulfovibrionaceae
4284712afd43afaabf9e98ca3cda1549	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae
4dc1b68855dfc5072f0674a9ea3f9960	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Mitochondria
cd6e6765d32d6400ef4faaf5d3e0f7bd	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Comamonadaceae
0f2b0d34d568e8052722d70e4a2cde94	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae
3690576eb7cfb125b5b3eff0eb0692c9	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Comamonadaceae
4b37461dc94e5b1bc3ddb314f9f1d7c4	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Aeromonadales	 Aeromonadaceae
1a0a44c55c345dde1735ce6545a8ad09	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Lactobacillaceae
bc9f615e61384ec55ac74f72e1c4704c	Bacteria	 Actinobacteriota	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae
68f8754d18c0868d84cdf1337fd30866	Bacteria	 Firmicutes	 Bacilli	 Mycoplasmatales	 Mycoplasmataceae
e06c502d5d907f5e2078261d7fe7055b	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Comamonadaceae
1a4136528bfe80802b5475c6319b5ed1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Aeromonadales	 Aeromonadaceae
c05ab0a6aa09c1cd03a660b7a07c47ef	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Comamonadaceae
a0154cb9044568f74d410744fc8145c5	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Caulobacterales	 Caulobacteraceae
d990b680eea818567d9509b1bef8aa38	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Leuconostocaceae
ddb46b3879102f03daf757f545912c0c	Bacteria	 Desulfobacterota	 Desulfovibrionia	 Desulfovibrionales	 Desulfovibrionaceae
da7efe6c1758c374167c7abb22019575	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae
645b06e27f08d676e81201bc3338722b	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Aeromonadales	 Aeromonadaceae
76d6980b0548d9757b8365a6ac261bd5	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Moraxellaceae
c34387b8a22d1651f53c948b538ede18	Bacteria	 Actinobacteriota	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae
c5bcb851ed9699b02bf9111d032dcd76	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae
cdb5a73b188acd24514e1329390b8da0	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae
cbe2547ca7e6d944b026e81cb5d9dfa9	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Beijerinckiaceae
61878b40e3eb606ea1f5a010b192e12b	Bacteria	 Desulfobacterota	 Desulfovibrionia	 Desulfovibrionales	 Desulfovibrionaceae
f4ab6b87a53aa92831610cd81600c86c	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Mitochondria
d9f962cfb6a04f12f6a739f763c23d8a	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Oxalobacteraceae
b2362d1fca163d5bc7993a81daff4286	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Aeromonadales	 Aeromonadaceae
e531d7869ac8e98039539046d44559b3	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae
854bf416614a4ef6a5acf21ded19fae8	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Pseudomonadaceae
672bd12b848745fcc308563cf37e7e32	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Oxalobacteraceae
e1c4247c51ec50440adae9a4157d7342	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Aeromonadales	 Aeromonadaceae
2fb3357614e150dc9c70b845f0f84d22	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae
